userName,score,at,content
Ande Ledoh,5,2026-02-12 12:25:41,"untuk game nya sangat bagus dan tidak ada iklan. sangat rekomen banget buat parah pecinta catur karna ada fitur online, offline dan juga bisa mabar sama teman sendiri"
Salomo Ganteng,5,2026-02-12 09:11:00,I think this game is very exciting because it trains the brain's ability to think.
Rafael,5,2026-02-12 07:50:39,mantap 👍
Xcellent,1,2026-02-12 05:00:47,"dak bagus, jangan di download"
Aidil Rafif Putra Hartono,5,2026-02-11 23:13:10,mungkin game ini sulit di mengerti tapi perlahan demi perlahan aku jadi hebat main catur pengalaman yg seru terimakasih karena menciptakan game seru seperti Chess ini
Elang sapto Wihada,5,2026-02-11 21:03:16,"very recommended ramah buat pemula catur, ya meskipun fiturnya kebatas premiun its okay lahh"
fabio ariant,5,2026-02-11 19:21:17,top pokoknya
Moch Farid alhuda,5,2026-02-11 17:14:20,bagus buat strategi
Apin _2,5,2026-02-11 16:46:59,"game nya sangat seru, sebelum nya saya tidak tau main catur sekarang saya bisa bermain catur"
Agil Vivi,5,2026-02-11 16:17:33,jangan ban akun kedua ku
Rofinus Ridiar,5,2026-02-11 14:59:56,i like it
aka .dermin,5,2026-02-11 13:34:05,bagus banget gm nya bg
Ni ketut Surni,5,2026-02-11 13:17:56,this game is my favorite and yes uts chess and im a kid 11 and im wish in the future im can be world chess champion ;)
Acelune,4,2026-02-11 13:17:50,"banyak pemain menggunakan cheat di elo rendah,saya berharap semua pemain itu di ban"
Takdir Ruqayya,5,2026-02-11 11:34:41,bagus sekali dan sangat baik bagi semua pemain catur tunggal
agus wahyudi,5,2026-02-11 09:58:29,baik
Muhammad Ramadhan,5,2026-02-11 00:28:48,hilang stress saya😁👍
Nando Koto,5,2026-02-10 22:26:25,oke
Erlangga Keren,1,2026-02-10 21:08:48,game goblok
Rii Reey,5,2026-02-10 21:02:12,aplikasi ini bikin saya pintar main catur
Amat Sodikin,5,2026-02-10 18:26:00,buat hiburan..
Abimannyu Pinardhi,5,2026-02-10 17:18:54,suka bgt pake ini
Dude Dude,1,2026-02-10 12:14:23,akun saya di nonaktifkan bernama Popaino10 tanpa sebab padahal main murni tanpa ada bantuan aplikasi ke 3 mohon dibaca
Miftakhul Huda,1,2026-02-10 12:11:44,ni kenapa sih tiap bikin akun akun gua di ban mulu
Khannan LK,3,2026-02-10 11:15:31,mntap
Dinda Ciwa,5,2026-02-10 10:24:48,"game nya bagus, premium dikasih 7 hari malahan gratis, cuma pas main online ngeleg dan reconnect padahal jaringan bagus, aku masih suka kok kalo udah abis premium nya kok suka bayar sendiri? duit aku habis"
Raihan Muhammad,4,2026-02-10 01:52:39,sata suka
S0131 Kid,4,2026-02-10 00:59:38,"game ini bagus, tapi kekurangannya yaitu tidak ada terjemahan bahasa Indonesia yang bagian pelajaran berikutnya, jadi saya bingung ini perintahnya apa dan saya pencet asal jadinya salah terus. jadi mohon dari saya agar ada terjemahan bahasa Indonesia nya"
Marsel Jonedi,5,2026-02-09 21:02:41,sangat menyenangkan sakali ini game bikin saya ingin gantung di genteng rumah mantap lanjutkan kerja bagus 😎👍
Yukivillanofa,5,2026-02-09 20:54:12,melatih otak jika tidak memiliki oapan catut asli
evangelia bria,5,2026-02-09 19:26:55,apk yg sgt membantu sy dlm belajar catur
Dam yati,1,2026-02-09 19:12:15,Gajelas Tiap dapat brilian bbrapa selang itu akun ke banned herann
Ayrton Kennard Wilson Lin,5,2026-02-09 17:02:01,sangat seru dan membantu keahlian dalam catur
Kadek Ridayasa,4,2026-02-09 13:48:58,mungkin untuk analisis langkahnya bisa di tunjukkan walau yang versi gratis
ELVERO BILLY JULIO,3,2026-02-09 13:01:29,ada bug program/ cheat ? saya di rugikan
Io Barudak,5,2026-02-09 11:26:12,"saya hoki terus, perasaan lebih susah kalo lewat crome dh, main pake crome aja lah biar susah musuhnya wkwk"
Muhammad Aliff,1,2026-02-09 10:59:24,semenjak di update jadi jelek
tinah surtinah,5,2026-02-09 09:24:23,Tambahkan bot gratis rating 1600-2000
Restu Fadillah,5,2026-02-09 06:12:13,bisa menjadi juara di manapun
VR Silitonga,1,2026-02-08 22:08:15,"Lucu bro, saya lagi main dan entah kenapa malah kena ban padahal ini permainan murni tanpa adanya curang! padahal udah elo 800+, sayang sekali, aku saya sudah di non-aktifkan😢"
Damar Mahesa,5,2026-02-08 21:49:01,gem nya anak pintar yang bisa atur strategi bertahan menyerang dll. sangat bagus👍 bisa Mabar
Baja Merah,5,2026-02-08 20:54:32,want to think like someone? play this!
Hellfigther “The Arsonists”,5,2026-02-08 19:29:36,"uhhh wdym ""we miss you"", also the game is honestly great."
Hari Hari123,5,2026-02-08 18:28:08,mantap
Razzan Ilman,1,2026-02-08 14:37:28,UI/UX nya memusingkan dan bikin bingung
Alfan Kafka,1,2026-02-08 12:52:36,login ga bisa
heng notradamustha,5,2026-02-08 12:37:52,lumayan
Valent Arka Wisesa,5,2026-02-08 08:52:48,nice game👍
genshin impact,5,2026-02-07 22:27:48,Brilliant😎
Shia Leshia,5,2026-02-07 21:13:37,"wow suka banget, tapi kok pada menyerah sih main sama saya"
Madang W,5,2026-02-07 18:19:09,sangat menyenangkan dan menghibur karena tidak ada iklan walaupun tidak premium😁
Irull Raull,5,2026-02-07 18:09:31,ok good
Rayhan Febrian,5,2026-02-07 15:59:01,DA ROOOOKKKK!!!!!!!
H Sitohang,5,2026-02-07 14:50:52,nice game
Muhammad fahmi Akbar,5,2026-02-07 14:39:51,sejauh ini game nya bagus ada multiplayer nya juga. udah itu aja
Sonic Cell,1,2026-02-07 12:21:02,gk bisa gerak bebas bikin kesel
Hendrik Drik,5,2026-02-07 12:07:02,Fefea nyo ŋutɔŋutɔ
Rainer86 Boy2,5,2026-02-07 10:38:07,banyak hackernya
Lutfi Raditya,5,2026-02-07 06:46:14,game bagus
Hanif Parmutyo,5,2026-02-06 18:56:30,sungguh bagus game ini bukan sembarang game ini adalah tempat belajarnya main catur semua cara ada keren!
Resa.s,5,2026-02-06 18:40:35,bagus untuk asah otak
Nikita Aprilia,5,2026-02-06 18:28:17,sangat bagus aku menyukainya
Fadiy Friday,5,2026-02-06 18:21:49,nice chess game!
Bobby Dumatubun,5,2026-02-06 17:58:28,Bagus sekali ketika sedang bosan
Pahlefi damar jaya LHT,5,2026-02-06 17:46:56,"Ini game sangat bagus untuk belajar bermain catur, serta dapat bermain dengan teman"
Zenn1 23,5,2026-02-06 16:14:03,tambahin raja iblis tambah bagus
Maudy Shafira Nugraha,5,2026-02-06 14:54:54,karena saya suka aja
Bagussahru,5,2026-02-06 13:14:31,"bagus, sayangnya dihp saya tidak kompatibel dan gak bisa main chees com"
Sri Ngatin,2,2026-02-06 09:40:14,Permainan yang tidak menyenangkan.
Yusuf efendy,5,2026-02-05 20:05:57,game nya bagus
Tri Yanto,5,2026-02-05 20:02:24,mantap👍👌
Fauzan Al-fathurazi,3,2026-02-05 10:10:54,"WOY, my opponent got lag and his clock still ticking when suddenly my turn came and the clock already zero!!!! wth!? i love you chess com but i hate you"
Sandra Edi Nugraha,1,2026-02-05 10:05:15,"Ga boleh jago, ga boleh hoki, ga boleh dapet lawan yg blunder. Atau akunmu bakal ditutup."
Haikal Azmi S,5,2026-02-05 05:35:21,bagus gamenya
Rudiansyah Hutagalung,4,2026-02-05 05:12:52,"Hello Developer, This Chess Apps is good. But, I have suggestion that you can add chess bot old chess player like Mikhail Tal, Bobby Fischer, Kasparov, etc game style? If able, I'm sure many people Will give 5 star. Thank you"
Guzzx,5,2026-02-04 23:10:49,GAME INI SERU DAN SANGAT MELATIH OTAK
muhammad rizal hambali Rizall,5,2026-02-04 20:33:10,bagus buat mengasah otak
Arif ucl 567,5,2026-02-04 20:26:25,The game is very exciting but why do you have to pay?
DODI NOVIANTO,5,2026-02-04 19:47:20,permainan mengasah otak paling brilliant
Sulastri Hinta,5,2026-02-04 18:57:11,sangat mudah digunakan dan complete
ROBERT Cong,5,2026-02-04 17:54:17,ok
Sultan Rafly Alamsyah,5,2026-02-04 14:34:38,fantastic
Zainal Mustakim,5,2026-02-04 13:59:24,spectakuler good luck
Benedictus Pascal,4,2026-02-04 12:51:39,cukup menghibur
Andrias Setiawan,5,2026-02-04 09:26:13,aplikasi catur paling lengkap
Neng Handayani,5,2026-02-04 06:50:23,game catur yang sangat bagus sekali untuk pemula
Oke Satuduaempat,5,2026-02-04 05:10:12,mantap skrng aku merasa bahwa aku bisa menjadi alexander the great setelah memainkan game ini
Robby Julianto,1,2026-02-04 01:52:43,Ini kenapa lawan selalu ditambah waktunya.. giliran kita waktunya dipercepat.. tolong perbaiki.. apa itu untuk yang beli saja.. ya?!?!
Suhadi Wijoyo,5,2026-02-03 23:03:52,bagus untuk belajar main catur karena ada reting kita sampai mana
William Dopo,5,2026-02-03 22:02:37,mantap.
Al Baran,1,2026-02-03 17:19:39,"selamat sore.. mohonn di bantuu kebijakan dalam fitur nya, saya tidak merasa berlangganan, tapi kenapa uang saya di tarik otomatis dari dana saya. transaksi dilakukan pada tgl 3 Februari 2026 jam 03.16 wib"
Krisna Marta,5,2026-02-03 15:15:42,i love chess
Riski Tr,5,2026-02-03 14:42:13,sangat bagus buat main pas lagi santai aku kasih bintang 5
Ahmali Yusain,5,2026-02-03 13:47:52,sangat cocok untuk pemula
rachendah Pamutrindiyah,5,2026-02-03 13:40:29,Untuk game ini bagus ya saya suka catur dah dari lama dan saya cari cari game catur yang bagus eh ternyata ini ni game catur yang seru saya juga bisa gitu berteman dengan orang orang luar gitu saran buat chess com itu di klub ada beberapa orang yang berkata kasar tapi ya belum di keluarkan apalagi player yang sombong saya kurang suka dan kurang nyaman di klub chess com indonesia dan kasi tutorial cara ikut turnamen di klub soalnya saya nggak bisa gitu oke segitu aja salam Maqio65
Datuak Yusuf,5,2026-02-03 11:23:05,tidak bisa ubah email untuk mengaitkan akun
Iskan,5,2026-02-03 11:15:55,BRILIANT!
Orlin Elysia,5,2026-02-03 10:26:40,aplikasi catur ini sangat kusukai karena mengajar kita langkah paling baik
Psyche. Callista!,5,2026-02-03 09:37:11,loginnya enak
06.Chrysandio Leonard,5,2026-02-03 07:44:40,Game catur terbaik!
Bocahsaa,5,2026-02-03 05:13:58,bgus
Nusaibah Khairunnisa,3,2026-02-03 01:17:58,"lumayan lah ya, tp biasanya suka ada iklan aneh¹ gtu jd ganggu main nya"
dito fitrah,5,2026-02-02 18:44:08,tolong buat missclicked nya di ilangin
Tutik Indrawati,5,2026-02-02 15:42:36,BEST CHESS APP EVER!!!!
enggar Daffi,5,2026-02-02 14:33:16,best game
Dimas Tekno,4,2026-02-02 13:57:42,gamenya bagus sih menurut aku
Azis Azis,5,2026-02-02 13:08:48,permainannya memberiku ratusan brilliant
Diki Mulyadi,5,2026-02-02 06:05:59,"bagi yg suka bermain catur mantap sangat bagus bener2 bagus seluruh negara di sini ada semua tidak ada iklan,,"
Ziyad Yusuf,1,2026-02-01 23:42:55,"banyak cheater, tolong dong gajelas banget di rating bawah itu banyak cheater, mau sejago apapun pasti kalah kalau lawan Stockfish 3500"
Alexander,5,2026-02-01 22:55:55,best game for upgrade your brain
Ahmad Fauzi,1,2026-02-01 22:26:47,udah bayar pakai bahasa inggrish lagi ga dulu de
Razan,5,2026-02-01 20:17:54,Gamenya ngasah otak banget! 😎
Sanda agung,5,2026-02-01 18:05:55,good.
Edi _ Saepudin,5,2026-02-01 17:32:33,"pengalaman main catur makin luas antar benua,mantap"
Erninur bint Sahlan,5,2026-02-01 12:06:51,Bagus aj
Dava Adzriel,1,2026-02-01 11:44:28,gua udah skakmat tin matiin tapi kok rajanya masih bisa gerak
Intan Zaskia,5,2026-02-01 10:00:22,buat mengisi waktu luang sambil minum kopi mantap
Habib Bubib,5,2026-02-01 09:16:34,Brilian
alfath2912,5,2026-02-01 08:40:21,this game is good
Ppir Arif,5,2026-01-31 23:55:53,nice
Wong tandem,4,2026-01-31 23:36:23,👍
Abdul Hamid,5,2026-01-31 22:57:43,menyenangkan bermain dg profesional... menambah wawasan bermain menjadi lebih menarik
Alexo,5,2026-01-31 22:42:35,game yang baik mengasah pikiran
Noplekk Kkk,5,2026-01-31 18:26:15,seru
Enola Guy,5,2026-01-31 17:29:03,sempurna 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯
Vivi,5,2026-01-31 16:44:53,gemes nya bagus 👍dan ga bikin stress
Edi kelana,5,2026-01-31 16:39:59,aplikasi paling mantap
Astrid Aulia,1,2026-01-31 15:37:58,banyak ngatur
Bahjah Online,5,2026-01-31 15:07:50,"gila sih, ini game bisa buat aku ahli maen catur. tapi kekurangan nya ada juga. yaitu: 1. Kalo login pake akun google gue kagak bisa ganti nama profil ku sendiri, harusnya bisa. 2. pas main catur itu kek ada tulisan ""menyerah otomatis dalam 0:59"". gue tau kalo itu tergantung dari jaringan nya aja. tapi mohon kalo jaringan nya putus seharusnya pemain nya itu cari pemain yang lain biar pemain kagak lama menunggu mohon diperbaiki"
Alexandru Aeneas,5,2026-01-31 14:59:57,seru ini game bisa menggunakan IQ dan harus ada memori otak
Sehzadee,1,2026-01-31 14:44:18,"selalu dirugikan karena masalah jaringan, padahal ping wifinya sangat bagus"
Dhrtya Anugerah Dananjaya,5,2026-01-31 12:31:46,sungguh kerennn
all sports club,5,2026-01-31 11:49:07,mantapp..
Barikly Noor A.D,5,2026-01-31 09:01:42,game seru
bo_odFCM,5,2026-01-31 08:31:09,sangat seru dan sangat menantang
Mikha Ich,5,2026-01-31 08:24:09,Cara kedua untuk populer di sekolah
Gilang Saputra,5,2026-01-31 06:12:55,game nya bagus seru tidak membosankan dan dapat menghilangkan rasa bosan di rumah! Terima kasih karna telah membuat game ini! Dan Sampai jumpa
Supianto,2,2026-01-30 22:42:39,Baru satu Minggu gak main sudah di non aktifkan akun saya
LIO GAMING,5,2026-01-30 21:50:57,Should i back?
Anzahfan n,5,2026-01-30 19:29:52,bagus tpi ga sesuai harapan:)
dewita ningsih,5,2026-01-30 17:46:30,game nya bagus gak ada bug sih di aku grafiknya juga ok mantaplah ni game terima kasih developer chess. com
Sword Death,5,2026-01-30 11:21:49,Terimakasih
Akbar Gama Siregar,5,2026-01-30 10:34:15,Permainan yg Mengasah pikiran
Johar Maknun,5,2026-01-30 09:32:32,aplikasi catur ini bagus sangat membantu bagi kami yang suka bermain catur. terimakasih..
dona maulana,5,2026-01-29 22:16:28,"ini adalah game catur terbaik! yang berawal dari pemula bisa menjadi ahli, orang orang curang selalu ditangani dengan benar, saat bermain rating lawannya selalu adil, tidak membosankan karna bisa mencoba banyak desain papan dan bidak. Terima kasih telah membuat game sebagus ini!🤩🤩"
Rojab Purnama,5,2026-01-29 20:31:06,Aku sangat menyukai aplikasi catur ini aku sudah memainkannya selama 5 tahun dan mulai berlangganan juga tapi saya memohon untuk menambah kan subtitle bahasa Indonesia di pembelajaran video nya dan juga di bagian penjelasan puzzle-puzzle nya itu saja 🙏
Wall Stress,5,2026-01-29 19:49:43,Nice
Hendra Hendriana,5,2026-01-29 18:22:39,OK
M. Gilang Rmd,5,2026-01-29 18:17:06,game nya bagus aku bisa main catur dari sini
Rian Syah,5,2026-01-29 15:44:08,lumayan ngasah otak
Muhammad Sulthon,5,2026-01-29 14:39:32,gamenya sangat seru!
Barra,5,2026-01-29 13:40:35,aplikasi ini bisa membuat kita membuat strategis mematikan berpikir langkah yg di mainkan oleh lawan kita dan cocok juga buat yg masih gk tau gerakannya 100℅ harus coba ini aplikasi
Ahmad Musthofa,4,2026-01-29 12:29:30,"gamenya sudah bagus, ga ada iklan, banyak opsinya, tapi saya kurang suka dengan limit analisis nya"
Helena kause Lena,5,2026-01-29 12:23:31,good chess
Aryan Gunadi Mubeen,5,2026-01-29 11:07:02,keren sekali gamenya
gbrn tsqf,5,2026-01-29 09:50:42,ini kalo mau rubah ke bahasa Indonesia untuk pelatih atau bot dimana ya?
Teguh Wibowo,1,2026-01-29 07:53:49,"Hati2 jika menang secara beruntun, anda akan dianggap curang. lebih aman jika anda pura2 kalah setelah menang secara terus menerus"
CHODRI,5,2026-01-29 06:27:20,terbaik .👍👍👍
Noviardi,5,2026-01-29 00:05:56,mntap game ny
Yusuf Davan,5,2026-01-28 23:44:21,good man
Ardi Alfarizi,5,2026-01-28 20:01:40,sangat menantang
Faris 9hathfan,3,2026-01-28 19:31:51,terlalu banyak cheater di game ini
Muria Mutiara,5,2026-01-28 19:17:00,cocok buat belajar and yap insyaallah gue bakal jadi pro karna ini gamr
MUHAMMAD RISKY FAISAL,5,2026-01-28 19:11:08,game nya sangat bagus
Bintang Pasaribu,5,2026-01-28 18:35:08,goodluck
Rio. S,5,2026-01-28 18:03:52,bagus untuk mengasah kemampuan main catur
Mravalen,4,2026-01-28 16:59:41,sangat mengasah otak walaupun elo saya turun terus
Fadil Deswara,5,2026-01-28 15:19:55,bagus banget gamenya
Javier Gunanta,5,2026-01-28 15:08:40,good appp bro let's go dwonload
Mochamad Aditya,5,2026-01-28 12:59:53,"easy game, make me battle against Magnus"
Iswandri Sikumbang,5,2026-01-28 11:33:48,good for me
Anggi Rara Agustin,5,2026-01-28 11:33:19,love it
191_Rizal Alfiansyah Ramadhani,4,2026-01-28 01:57:08,untuk pelajaran saya harap akan ada bahasa Indonesia di In gamenya
Zahid (Zii),5,2026-01-28 00:25:04,"ohh man I miss this game, me and my brother used to play this a lot, and he always lose lol"
nsrd,5,2026-01-27 23:58:12,tambahkan fitur pilih negara lawan dong
eka nur handayani,5,2026-01-27 21:39:29,"bagus gamenya bikin nagih, entah kenapa ketemu lawan susah Mulu entah saya nya skill issue atau gimana😅😅😅 kayaknya sayanya aja kurang cocok main game begini."
Irma Nasution,5,2026-01-27 20:22:52,Tiba tiba akun ku di nonaktifkan kan tanpa sebab
Bismo Pangestuning,5,2026-01-27 20:05:05,"game ini sangat perfect dan satu lagi, THE ROOOOOK!!"
Richard Putra,5,2026-01-27 19:24:48,peri gud. ai laik dis gem. Ai hop epeliwan downlod dis gem
Vivo Y71,1,2026-01-27 17:45:23,nggak bagus aku sudah coba verifikasi tapi tidak mau
Padhil Rizky,4,2026-01-27 13:40:10,game banyak pikiran kocak
Zraei Real,1,2026-01-27 13:25:43,I love catur
Mhmd AliReza,5,2026-01-27 12:22:08,"sangat bagus, game catur terbaik yang pernah saya mainkan"
Rafa Ramadan,5,2026-01-27 10:30:01,"Applikasi Nya Sudah Bagus Namun Saya Sarankan Tambah Fitur Auto Report Contoh:Bila Seseorang Bermain Tidak Wajar(Seperti Hans Nieman Saat Melawan Magnus Carlsen) Maka Akan Di Anggap Curang, Dan Kalau Bisa Tambahkan Fitur Dimana Kita Bisa Ngobrol Sama Bot"
Aditya Wiardana,5,2026-01-27 09:44:16,Good game! :)
grand jovial fony,1,2026-01-27 06:49:00,"Berlian scam, malah Waktu saya cek malah tidak ada apa apa"
Bibi Namlea,1,2026-01-27 05:37:51,game kikir akun pertama gua ke ban padahal dalam game aku ada blunder ada mistek ada kesalahan tapi pas aku menang akun gua ke ban permanen tanpa alasan aku gua yang kedua juga sama padahal aku dan musuh sama-sama blunder tapi aku yang di ban
Cak Min,5,2026-01-26 23:21:43,menyenangkam
Dendi Kurniawan,5,2026-01-26 22:32:48,sangat bagus sekali aku suka
M hanifan,1,2026-01-26 22:02:58,"kenapa tiap kali update malah ganggu udah mau menang malah ke relog gara gara update, udah sering tetap sama aja ga ada perbaikan, ujung ujung nya malah mengurangi rank"
Vincent aurelio 552,5,2026-01-26 18:56:27,bagus untuk pemain catur
wjj jzhsj,5,2026-01-26 18:25:20,stuck di 900an aihihihihihi
Edrick hanis Savero,1,2026-01-26 15:16:20,game ini jelek 🐷🐽🐽🐽🐽🐽
Dandan Rismawan,5,2026-01-26 14:02:18,kerennn
Yusuf Arif R,5,2026-01-26 13:50:18,membuat kami bahagia.
daffa a.s,3,2026-01-26 13:36:07,"its so bad, but its better than lichess"
Franky Sirait,5,2026-01-25 23:45:37,aplikasi catur terbaik
Sino Raghil,5,2026-01-25 23:05:15,pokoknya ok lah
Zhallnando,1,2026-01-25 22:59:05,"apa-apa bayar, beda dengan saingannya serba free."
Anies Marsela,4,2026-01-25 22:25:34,mantap buat ngisi waktu.
Pea Butal,1,2026-01-25 19:22:43,game jelek
Rhenko Angels,5,2026-01-25 18:12:06,"this game good for brain because, we learn strategi and think where the opponent will move"
Muhammad Danish Mufti,5,2026-01-25 18:10:51,sangat baik
pahmee 00,5,2026-01-25 17:16:14,"halo Developer, kalau bisa tambahkan juga sebuah animasi untuk caturnya, pasti sangat memungkinkan game ini menjadi terkenal"
Naufal Pratama,5,2026-01-25 15:58:27,cukup menambah ke ahlian saya
Byson,5,2026-01-25 15:40:33,permainan bagus asah otak.
Lala Dipsi,2,2026-01-25 10:48:49,game kikir
Iwan Setiawan,5,2026-01-25 07:43:42,paling suka
Syukur Hariyadi,5,2026-01-25 06:52:21,oke baik
martin andriyan,5,2026-01-25 06:25:24,"sekian lamanya mencari bakat,ini bakat satu-satunya"
noob ramadani,5,2026-01-25 04:56:24,untuk waktu luang gabut dan bosan bisa mainkan catur
R Thx,5,2026-01-24 23:24:28,wes pokok e manteb
agus subhan,1,2026-01-24 18:22:10,"sangat buruk, jauh lebih baik yang open source.."
Yanuar Abdillah,5,2026-01-24 18:17:04,selalu muncul error -06...dan ga bisa bermain sama sekali.jadi bagaimana?
Muhammad sulaiman,2,2026-01-24 17:50:13,males banget padahal dah deket wifi tiba tiba banget disconnect padahal hampir menang :(
Hafidz Arrahman,5,2026-01-24 14:47:13,"suka main pas lagi gabut aja, tapi seru kok, aku main jg grgr di saranin sm temen ku"
Muhammad Rajab,5,2026-01-24 07:44:38,bagus bgt
Jefry Wijaya,5,2026-01-24 00:11:20,ini game buat orang yang suka lama berfikir
Halo,5,2026-01-23 23:14:29,Wow
Agus Susilo,5,2026-01-23 22:12:19,"bagus, banyak versi 👏👍"
Aldo Ganteng,5,2026-01-23 21:44:35,"ini bukan cuma permainan biasa tapi melatih otak dan strategi ,taktik"
Arfa,5,2026-01-23 21:21:42,Seru sekali permainan ini dan bisa sambil menambah ilmu!
Karim Mokoagow,5,2026-01-23 19:07:11,karena ini pas
Mayat Idop 33,5,2026-01-23 18:36:28,ummm
KUA Kaureh,4,2026-01-23 13:32:36,nicee
KING PROFIT GAMING,5,2026-01-23 12:00:00,🤺
Arsyad Abdul azmi,5,2026-01-23 11:35:25,game ini seru bisa lawan teman
azwin nasir,5,2026-01-22 22:07:39,mantap untuk belajar
Daenk Lahak,1,2026-01-22 21:22:22,Min tolong kembalikan dana saya sebesar Rp. 664.890 saya tidak tahu atau tidak disengaja melakukan fitur langganannya. jadi saya mohon untuk di kembalikan uang nya karena saya sangat membutuhkannya terimakasih.
Dili ciawi,4,2026-01-22 21:03:16,Saya sayang menyukai permainan ini
Muhammad Farhan,5,2026-01-22 20:35:31,Gamenya bagus untuk analisa permainan
Deeps 01,5,2026-01-22 19:23:46,Aplikasi yang mantap... sangat membantu dalam proses belajar bermain CATUR🙏
Eka sucianti,5,2026-01-22 19:13:35,sangat berfungsi bisa belajar
MRD,5,2026-01-22 18:12:54,game ini membuat saya menjadi raja catur di sekolah
Richmat Almair,5,2026-01-22 16:47:33,enak mainya
Cha,1,2026-01-22 12:27:55,kenapa log in nya ga bisa dan stuk disana
Barokah Ways,5,2026-01-22 10:27:04,keren saya bisa di ajarin hikaru
the Doctor,5,2026-01-22 06:53:09,Incredible Chess 5/5☆
Dpiton Joker,5,2026-01-22 02:58:07,sangat membantu di saat waktu luang..
Yohanes Rekxon,5,2026-01-21 22:49:02,seruuuu
Dimasagung,1,2026-01-21 21:09:21,"game ini sangat curang saat bermain dengan komputer. disaat sudah banyak langkah dan minimal salah satu pemain hanya tinggal raja maupun masih ada beberapa prajurit atau yang lain jika kita yang kalah ya kita kalah otomatis komputer menang tetapi jika kita berada diposisi menang kita bisa mengalahkan komputer akan disetting menjadi remis. saya berani me-rating jelek karena sudah banyak kali terjadi seperti ini, disaat ingin main santai dengan komputer malah di setting seperti ini kan ajggg"
Johanes Revanno Winata,3,2026-01-21 20:57:10,"udah bagus sih, musuhnya juga seimbang sekarang, tapi sayang banget banyak fitur yang dulunya gratis malah jadi berbayar, dulu itu pas lagi analisa game itu kita bisa lihat gerakannya juga, jadi kalo kita dapet briliant nanti juga di tunjukin kalo kita dapet briliant, walaupun gak 100% akurat sih, tapi sekarang.. malah jadi berbayar, bahkan untuk main lawan bot, analisa game, itu aja berbayar, jujur aja aplikasi ini bakal jauh lebih bagus kalo fitur²nya gratis."
Chess2551,5,2026-01-21 16:32:38,gamenya bagus kalo buat latihan bagus juga ini bagus banget kalo yang baru main catur ini game mambantu banget
Fauziah Dr,5,2026-01-21 16:30:10,"sangat mengasah otak,sayang sekali jika di mainkan 👍👍👍🚨"
